Year,Month,Anomaly
1916,3,12.841
1916,4,13.698
1916,5,14.673
1916,6,15.328
1916,7,15.626
1916,8,15.452
1916,9,14.825
1916,10,13.906
1916,11,12.759
1916,12,11.753
1917,1,11.625
1917,2,11.842
1917,3,12.429
1917,4,13.507
1917,5,14.423
1917,6,15.214
1917,7,15.686
1917,8,15.491
1917,9,14.852
1917,10,13.791
1917,11,12.8
1917,12,11.825
1918,1,11.772
1918,2,11.989
1918,3,12.7
1918,4,13.519
1918,5,14.531
1918,6,15.335
1918,7,15.621
1918,8,15.42
1918,9,15.009
1918,10,14.262
1918,11,13.082
1918,12,12.27
1919,1,12.097
1919,2,12.283
1919,3,12.844
1919,4,13.924
1919,5,14.775
1919,6,15.389
1919,7,15.661
1919,8,15.53
1919,9,14.87
1919,10,14.019
1919,11,12.724
1919,12,12.15
1920,1,12.128
1920,2,12.177
1920,3,13.025
1920,4,13.86
1920,5,14.769
1920,6,15.462
1920,7,15.722
1920,8,15.57
1920,9,15.016
1920,10,14.157
1920,11,13.003
1920,12,12.078
1921,1,12.181
1921,2,12.309
1921,3,12.825
1921,4,13.761
1921,5,14.708
1921,6,15.572
1921,7,15.841
1921,8,15.539
1921,9,15.06
1921,10,14.26
1921,11,13.151
1921,12,12.448
1922,1,12.017
1922,2,12.108
1922,3,12.986
1922,4,13.918
1922,5,14.649
1922,6,15.455
1922,7,15.763
1922,8,15.453
1922,9,14.858
1922,10,13.951
1922,11,13.033
1922,12,12.396
1923,1,12.008
1923,2,12.108
1923,3,12.748
1923,4,13.754
1923,5,14.724
1923,6,15.5
1923,7,15.616
1923,8,15.495
1923,9,14.883
1923,10,14.266
1923,11,13.32
1923,12,12.579
1924,1,12.044
1924,2,12.266
1924,3,13.061
1924,4,13.776
1924,5,14.861
1924,6,15.489
1924,7,15.735
1924,8,15.508
1924,9,14.896
1924,10,13.98
1924,11,13.073
1924,12,12.216
1925,1,11.884
1925,2,12.051
1925,3,12.857
1925,4,13.797
1925,5,14.844
1925,6,15.45
1925,7,15.701
1925,8,15.659
1925,9,15.016
1925,10,14.152
1925,11,13.262
1925,12,12.726
1926,1,12.528
1926,2,12.496
1926,3,13.244
1926,4,13.957
1926,5,14.815
1926,6,15.518
1926,7,15.761
1926,8,15.702
1926,9,15.117
1926,10,14.319
1926,11,13.232
1926,12,12.34
1927,1,12.054
1927,2,12.333
1927,3,12.733
1927,4,13.788
1927,5,14.836
1927,6,15.456
1927,7,15.785
1927,8,15.642
1927,9,15.109
1927,10,14.367
1927,11,13.222
1927,12,12.298
1928,1,12.405
1928,2,12.482
1928,3,12.91
1928,4,13.844
1928,5,14.717
1928,6,15.341
1928,7,15.788
1928,8,15.587
1928,9,14.964
1928,10,14.157
1928,11,13.146
1928,12,12.408
1929,1,11.885
1929,2,11.976
1929,3,12.72
1929,4,13.666
1929,5,14.585
1929,6,15.291
1929,7,15.549
1929,8,15.528
1929,9,14.964
1929,10,14.171
1929,11,13.142
1929,12,12.063
1930,1,12.076
1930,2,12.228
1930,3,13.008
1930,4,13.84
1930,5,14.8
1930,6,15.487
1930,7,15.844
1930,8,15.701
1930,9,15.101
1930,10,14.242
1930,11,13.41
1930,12,12.553
1931,1,12.198
1931,2,12.288
1931,3,13.037
1931,4,13.876
1931,5,14.822
1931,6,15.666
1931,7,15.978
1931,8,15.81
1931,9,15.181
1931,10,14.386
1931,11,13.248
